ID,title,subtitle,tags,Temperature,Conductivity,component1,component2,component3,component4,component5,component6,mol_ratio,wt_ratio,melting_temp,inorg_name,inorg_contain_ratio(wt),crystallinity,Tg,mp,reference,smiles1,type1,Mw1,smiles2,type2,Mw2,smiles3,type3,Mw3,smiles4,type4,Mw4,smiles5,type5,Mw5,smiles6,type6,Mw6
1501.0,lit_tr1501,,1.0,90.0,1.69401e-07,LiPSS,j6,,,,,1/20,,,,,,,,10.1002/anie.201509299,polymer_LiPSS,Polymer Electrolyte,494394.25148097554,polymer_j6,Polymer Electrolyte,627826.868576432,,,,,,,,,,,,
1502.0,lit_tr1502,,1.0,80.0,1.11736e-07,LiPSS,j6,,,,,1/20,,,,,,,,10.1002/anie.201509299,polymer_LiPSS,Polymer Electrolyte,494394.25148097554,polymer_j6,Polymer Electrolyte,627826.868576432,,,,,,,,,,,,
1503.0,lit_tr1503,,1.0,70.0,7.79051e-08,LiPSS,j6,,,,,1/20,,,,,,,,10.1002/anie.201509299,polymer_LiPSS,Polymer Electrolyte,494394.25148097554,polymer_j6,Polymer Electrolyte,627826.868576432,,,,,,,,,,,,
1504.0,lit_tr1504,,1.0,60.0,7.37004e-09,LiPSS,j6,,,,,1/20,,,,,,,,10.1002/anie.201509299,polymer_LiPSS,Polymer Electrolyte,494394.25148097554,polymer_j6,Polymer Electrolyte,627826.868576432,,,,,,,,,,,,
1505.0,lit_tr1505,,1.0,50.0,2.05709e-09,LiPSS,j6,,,,,1/20,,,,,,,,10.1002/anie.201509299,polymer_LiPSS,Polymer Electrolyte,494394.25148097554,polymer_j6,Polymer Electrolyte,627826.868576432,,,,,,,,,,,,
1506.0,lit_tr1506,,1.0,40.0,1.02813e-09,LiPSS,j6,,,,,1/20,,,,,,,,10.1002/anie.201509299,polymer_LiPSS,Polymer Electrolyte,494394.25148097554,polymer_j6,Polymer Electrolyte,627826.868576432,,,,,,,,,,,,
1507.0,lit_tr1507,,1.0,30.0,4.35065e-10,LiPSS,j6,,,,,1/20,,,,,,,,10.1002/anie.201509299,polymer_LiPSS,Polymer Electrolyte,494394.25148097554,polymer_j6,Polymer Electrolyte,627826.868576432,,,,,,,,,,,,
1508.0,lit_tr1508,,1.0,25.0,3.20645e-10,LiPSS,j6,,,,,1/20,,,,,,,,10.1002/anie.201509299,polymer_LiPSS,Polymer Electrolyte,494394.25148097554,polymer_j6,Polymer Electrolyte,627826.868576432,,,,,,,,,,,,
1509.0,lit_tr1509,,1.0,90.0,2.71478e-05,LiPSTFSI,j6,,,,,1/20,,,,,,,,10.1002/anie.201509299,polymer_LiPSTFSI,Polymer Electrolyte,594382.9421128788,polymer_j6,Polymer Electrolyte,627826.868576432,,,,,,,,,,,,
1510.0,lit_tr1510,,1.0,80.0,1.69401e-05,LiPSTFSI,j6,,,,,1/20,,,,,,,,10.1002/anie.201509299,polymer_LiPSTFSI,Polymer Electrolyte,594382.9421128788,polymer_j6,Polymer Electrolyte,627826.868576432,,,,,,,,,,,,
1511.0,lit_tr1511,,1.0,70.0,6.97225e-06,LiPSTFSI,j6,,,,,1/20,,,,,,,,10.1002/anie.201509299,polymer_LiPSTFSI,Polymer Electrolyte,594382.9421128788,polymer_j6,Polymer Electrolyte,627826.868576432,,,,,,,,,,,,
1512.0,lit_tr1512,,1.0,60.0,8.23499e-07,LiPSTFSI,j6,,,,,1/20,,,,,,,,10.1002/anie.201509299,polymer_LiPSTFSI,Polymer Electrolyte,594382.9421128788,polymer_j6,Polymer Electrolyte,627826.868576432,,,,,,,,,,,,
1513.0,lit_tr1513,,1.0,50.0,1.21433e-07,LiPSTFSI,j6,,,,,1/20,,,,,,,,10.1002/anie.201509299,polymer_LiPSTFSI,Polymer Electrolyte,594382.9421128788,polymer_j6,Polymer Electrolyte,627826.868576432,,,,,,,,,,,,
